Sample	City	Environment	ARG_Class	Abundance
DRR480202	Kolkata	Controlled	ACT-121	4
DRR480202	Kolkata	Controlled	ACT-123	2
DRR480202	Kolkata	Controlled	ACT-124	11
DRR480202	Kolkata	Controlled	ACT-14	5
DRR480202	Kolkata	Controlled	ACT-143	13
DRR480202	Kolkata	Controlled	ACT-145	1
DRR480202	Kolkata	Controlled	ACT-150	93
DRR480202	Kolkata	Controlled	ACT-154	15
DRR480202	Kolkata	Controlled	ACT-156	44
DRR480202	Kolkata	Controlled	ACT-158	52
DRR480202	Kolkata	Controlled	ACT-159	5
DRR480202	Kolkata	Controlled	ACT-16	4
DRR480202	Kolkata	Controlled	ACT-161	3
DRR480202	Kolkata	Controlled	ACT-167	11
DRR480202	Kolkata	Controlled	ACT-170	2
DRR480202	Kolkata	Controlled	ACT-173	1
DRR480202	Kolkata	Controlled	ACT-174	5
DRR480202	Kolkata	Controlled	ACT-175	1
DRR480202	Kolkata	Controlled	ACT-176	2
DRR480202	Kolkata	Controlled	ACT-177	6
DRR480202	Kolkata	Controlled	ACT-181	2
DRR480202	Kolkata	Controlled	ACT-183	5
DRR480202	Kolkata	Controlled	ACT-19	66
DRR480202	Kolkata	Controlled	ACT-191	18
DRR480202	Kolkata	Controlled	ACT-20	2
DRR480202	Kolkata	Controlled	ACT-21	4
DRR480202	Kolkata	Controlled	ACT-22	33
DRR480202	Kolkata	Controlled	ACT-27	38
DRR480202	Kolkata	Controlled	ACT-28	8
DRR480202	Kolkata	Controlled	ACT-30	4
DRR480202	Kolkata	Controlled	ACT-34	3
DRR480202	Kolkata	Controlled	ACT-36	2
DRR480202	Kolkata	Controlled	ACT-37	52
DRR480202	Kolkata	Controlled	ACT-38	6
DRR480202	Kolkata	Controlled	ACT-39	1
DRR480202	Kolkata	Controlled	ACT-4	19
DRR480202	Kolkata	Controlled	ACT-42	185
DRR480202	Kolkata	Controlled	ACT-43	17
DRR480202	Kolkata	Controlled	ACT-44	4
DRR480202	Kolkata	Controlled	ACT-48	14
DRR480202	Kolkata	Controlled	ACT-49	7
DRR480202	Kolkata	Controlled	ACT-5	6
DRR480202	Kolkata	Controlled	ACT-50	6
DRR480202	Kolkata	Controlled	ACT-53	5
DRR480202	Kolkata	Controlled	ACT-54	1
DRR480202	Kolkata	Controlled	ACT-57	1
DRR480202	Kolkata	Controlled	ACT-58	11
DRR480202	Kolkata	Controlled	ACT-59	20
DRR480202	Kolkata	Controlled	ACT-62	5
DRR480202	Kolkata	Controlled	ACT-63	2
DRR480202	Kolkata	Controlled	ACT-64	6
DRR480202	Kolkata	Controlled	ACT-65	11
DRR480202	Kolkata	Controlled	ACT-72	5
DRR480202	Kolkata	Controlled	ACT-76	2
DRR480202	Kolkata	Controlled	ACT-77	1
DRR480202	Kolkata	Controlled	ACT-79	12
DRR480202	Kolkata	Controlled	ACT-80	4
DRR480202	Kolkata	Controlled	ACT-81	5
DRR480202	Kolkata	Controlled	ACT-85	39
DRR480202	Kolkata	Controlled	ACT-87	1
DRR480202	Kolkata	Controlled	ACT-88	3
DRR480202	Kolkata	Controlled	ACT-89	3
DRR480202	Kolkata	Controlled	ACT-90	16
DRR480202	Kolkata	Controlled	ACT-93	2
DRR480202	Kolkata	Controlled	ADC-10	1
DRR480202	Kolkata	Controlled	ADC-100	1
DRR480202	Kolkata	Controlled	ADC-104	1
DRR480202	Kolkata	Controlled	ADC-106	5
DRR480202	Kolkata	Controlled	ADC-112	18
DRR480202	Kolkata	Controlled	ADC-12	5
DRR480202	Kolkata	Controlled	ADC-120	19
DRR480202	Kolkata	Controlled	ADC-127	5
DRR480202	Kolkata	Controlled	ADC-129	6
DRR480202	Kolkata	Controlled	ADC-13	1
DRR480202	Kolkata	Controlled	ADC-130	9
DRR480202	Kolkata	Controlled	ADC-131	3
DRR480202	Kolkata	Controlled	ADC-133	2
DRR480202	Kolkata	Controlled	ADC-134	3
DRR480202	Kolkata	Controlled	ADC-137	2
DRR480202	Kolkata	Controlled	ADC-138	3
DRR480202	Kolkata	Controlled	ADC-141	1
DRR480202	Kolkata	Controlled	ADC-148	4
DRR480202	Kolkata	Controlled	ADC-15	5
DRR480202	Kolkata	Controlled	ADC-151	1
DRR480202	Kolkata	Controlled	ADC-155	6
DRR480202	Kolkata	Controlled	ADC-159	1
DRR480202	Kolkata	Controlled	ADC-16	1
DRR480202	Kolkata	Controlled	ADC-162	1
DRR480202	Kolkata	Controlled	ADC-169	3
DRR480202	Kolkata	Controlled	ADC-170	1
DRR480202	Kolkata	Controlled	ADC-178	1
DRR480202	Kolkata	Controlled	ADC-18	3
DRR480202	Kolkata	Controlled	ADC-180	1
DRR480202	Kolkata	Controlled	ADC-184	1
DRR480202	Kolkata	Controlled	ADC-19	2
DRR480202	Kolkata	Controlled	ADC-194	7
DRR480202	Kolkata	Controlled	ADC-197	1
DRR480202	Kolkata	Controlled	ADC-198	1
DRR480202	Kolkata	Controlled	ADC-20	56
DRR480202	Kolkata	Controlled	ADC-200	3
DRR480202	Kolkata	Controlled	ADC-201	3
DRR480202	Kolkata	Controlled	ADC-202	2
DRR480202	Kolkata	Controlled	ADC-205	1
DRR480202	Kolkata	Controlled	ADC-207	1
DRR480202	Kolkata	Controlled	ADC-209	6
DRR480202	Kolkata	Controlled	ADC-21	2
DRR480202	Kolkata	Controlled	ADC-212	11
DRR480202	Kolkata	Controlled	ADC-216	32
DRR480202	Kolkata	Controlled	ADC-22	1
DRR480202	Kolkata	Controlled	ADC-221	12
DRR480202	Kolkata	Controlled	ADC-223	2
DRR480202	Kolkata	Controlled	ADC-224	2
DRR480202	Kolkata	Controlled	ADC-225	1
DRR480202	Kolkata	Controlled	ADC-23	3
DRR480202	Kolkata	Controlled	ADC-234	3
DRR480202	Kolkata	Controlled	ADC-253	3
DRR480202	Kolkata	Controlled	ADC-256	2
DRR480202	Kolkata	Controlled	ADC-264	1
